 0.2000000E-02 -0.5573562E+00 -0.1573020E+00 -0.9814044E+00 -0.9026386E+00  0.2930440E+00  0.1031252E+00  0.3557098E+00  0.1641955E+00  0.2979849E+00  0.8231515E+00 -0.6283592E-01  0.4593407E+00 -0.3989609E+00  0.4497983E-01  0.1259914E+01 -0.1681793E+00 -0.5693040E+00 -0.2791165E-01  0.6141687E+00 -0.7560077E-01  0.2897019E+00  0.2838780E+00  0.1320013E+00 -0.2493049E+00 -0.7652263E+00  0.2148452E+00 -0.4465808E+00  0.3708250E+00  0.1999713E+00 -0.2477087E+00 -0.5584478E+00  0.9017256E-01  0.8845965E+00 -0.4875966E+00 -0.8138797E-01  0.2651156E+00  0.3971386E+00 -0.6846945E+00  0.7016109E+00 -0.3908107E+00
 0.4000000E-02 -0.5573628E+00 -0.1573044E+00 -0.9814126E+00 -0.9026460E+00  0.2930489E+00  0.1031260E+00  0.3557148E+00  0.1641967E+00  0.2979880E+00  0.8231596E+00 -0.6283555E-01  0.4593456E+00 -0.3989672E+00  0.4498135E-01  0.1259921E+01 -0.1681819E+00 -0.5693109E+00 -0.2791062E-01  0.6141737E+00 -0.7560090E-01  0.2897064E+00  0.2838816E+00  0.1320048E+00 -0.2493060E+00 -0.7652343E+00  0.2148475E+00 -0.4465865E+00  0.3708289E+00  0.1999731E+00 -0.2477132E+00 -0.5584537E+00  0.9017272E-01  0.8846052E+00 -0.4876021E+00 -0.8139146E-01  0.2651190E+00  0.3971442E+00 -0.6847014E+00  0.7016167E+00 -0.3908150E+00
 0.6000000E-02 -0.5573758E+00 -0.1573093E+00 -0.9814290E+00 -0.9026607E+00  0.2930588E+00  0.1031276E+00  0.3557247E+00  0.1641991E+00  0.2979941E+00  0.8231758E+00 -0.6283483E-01  0.4593555E+00 -0.3989797E+00  0.4498436E-01  0.1259935E+01 -0.1681869E+00 -0.5693246E+00 -0.2790856E-01  0.6141838E+00 -0.7560114E-01  0.2897154E+00  0.2838888E+00  0.1320118E+00 -0.2493082E+00 -0.7652501E+00  0.2148522E+00 -0.4465979E+00  0.3708367E+00  0.1999766E+00 -0.2477223E+00 -0.5584653E+00  0.9017304E-01  0.8846224E+00 -0.4876130E+00 -0.8139841E-01  0.2651259E+00  0.3971555E+00 -0.6847151E+00  0.7016282E+00 -0.3908236E+00
 0.8000000E-02 -0.5573953E+00 -0.1573165E+00 -0.9814535E+00 -0.9026826E+00  0.2930734E+00  0.1031300E+00  0.3557394E+00  0.1642027E+00  0.2980032E+00  0.8231999E+00 -0.6283375E-01  0.4593701E+00 -0.3989984E+00  0.4498885E-01  0.1259957E+01 -0.1681944E+00 -0.5693450E+00 -0.2790550E-01  0.6141987E+00 -0.7560151E-01  0.2897287E+00  0.2838996E+00  0.1320223E+00 -0.2493116E+00 -0.7652738E+00  0.2148591E+00 -0.4466148E+00  0.3708483E+00  0.1999818E+00 -0.2477358E+00 -0.5584828E+00  0.9017351E-01  0.8846480E+00 -0.4876292E+00 -0.8140877E-01  0.2651361E+00  0.3971722E+00 -0.6847355E+00  0.7016454E+00 -0.3908363E+00
 0.1000000E-01 -0.5574211E+00 -0.1573261E+00 -0.9814860E+00 -0.9027116E+00  0.2930928E+00  0.1031332E+00  0.3557590E+00  0.1642074E+00  0.2980153E+00  0.8232319E+00 -0.6283232E-01  0.4593895E+00 -0.3990232E+00  0.4499480E-01  0.1259986E+01 -0.1682043E+00 -0.5693721E+00 -0.2790143E-01  0.6142185E+00 -0.7560200E-01  0.2897463E+00  0.2839138E+00  0.1320362E+00 -0.2493160E+00 -0.7653051E+00  0.2148682E+00 -0.4466373E+00  0.3708637E+00  0.1999888E+00 -0.2477537E+00 -0.5585059E+00  0.9017414E-01  0.8846819E+00 -0.4876507E+00 -0.8142249E-01  0.2651496E+00  0.3971945E+00 -0.6847625E+00  0.7016683E+00 -0.3908532E+00
 0.1200000E-01 -0.5574532E+00 -0.1573380E+00 -0.9815263E+00 -0.9027477E+00  0.2931170E+00  0.1031371E+00  0.3557833E+00  0.1642134E+00  0.2980302E+00  0.8232717E+00 -0.6283055E-01  0.4594137E+00 -0.3990539E+00  0.4500219E-01  0.1260021E+01 -0.1682167E+00 -0.5694057E+00 -0.2789638E-01  0.6142431E+00 -0.7560260E-01  0.2897683E+00  0.2839315E+00  0.1320535E+00 -0.2493215E+00 -0.7653440E+00  0.2148796E+00 -0.4466651E+00  0.3708828E+00  0.1999975E+00 -0.2477760E+00 -0.5585346E+00  0.9017493E-01  0.8847241E+00 -0.4876775E+00 -0.8143955E-01  0.2651664E+00  0.3972221E+00 -0.6847960E+00  0.7016966E+00 -0.3908742E+00
 0.1400000E-01 -0.5574915E+00 -0.1573522E+00 -0.9815744E+00 -0.9027907E+00  0.2931458E+00  0.1031417E+00  0.3558123E+00  0.1642204E+00  0.2980481E+00  0.8233191E+00 -0.6282843E-01  0.4594425E+00 -0.3990906E+00  0.4501101E-01  0.1260064E+01 -0.1682314E+00 -0.5694458E+00 -0.2789036E-01  0.6142724E+00 -0.7560332E-01  0.2897944E+00  0.2839527E+00  0.1320741E+00 -0.2493280E+00 -0.7653905E+00  0.2148932E+00 -0.4466984E+00  0.3709056E+00  0.2000078E+00 -0.2478025E+00 -0.5585688E+00  0.9017586E-01  0.8847745E+00 -0.4877093E+00 -0.8145989E-01  0.2651865E+00  0.3972550E+00 -0.6848361E+00  0.7017304E+00 -0.3908992E+00
 0.1600000E-01 -0.5575359E+00 -0.1573687E+00 -0.9816301E+00 -0.9028406E+00  0.2931792E+00  0.1031472E+00  0.3558460E+00  0.1642286E+00  0.2980688E+00  0.8233740E+00 -0.6282597E-01  0.4594758E+00 -0.3991332E+00  0.4502123E-01  0.1260113E+01 -0.1682485E+00 -0.5694923E+00 -0.2788337E-01  0.6143065E+00 -0.7560416E-01  0.2898248E+00  0.2839772E+00  0.1320980E+00 -0.2493356E+00 -0.7654443E+00  0.2149089E+00 -0.4467370E+00  0.3709321E+00  0.2000197E+00 -0.2478333E+00 -0.5586085E+00  0.9017694E-01  0.8848328E+00 -0.4877463E+00 -0.8148348E-01  0.2652097E+00  0.3972931E+00 -0.6848825E+00  0.7017697E+00 -0.3909283E+00
 0.1800000E-01 -0.5575863E+00 -0.1573874E+00 -0.9816935E+00 -0.9028973E+00  0.2932171E+00  0.1031533E+00  0.3558841E+00  0.1642379E+00  0.2980924E+00  0.8234365E+00 -0.6282317E-01  0.4595137E+00 -0.3991815E+00  0.4503285E-01  0.1260169E+01 -0.1682679E+00 -0.5695451E+00 -0.2787544E-01  0.6143451E+00 -0.7560510E-01  0.2898592E+00  0.2840050E+00  0.1321251E+00 -0.2493442E+00 -0.7655055E+00  0.2149268E+00 -0.4467808E+00  0.3709621E+00  0.2000333E+00 -0.2478682E+00 -0.5586536E+00  0.9017817E-01  0.8848991E+00 -0.4877883E+00 -0.8151028E-01  0.2652361E+00  0.3973365E+00 -0.6849352E+00  0.7018142E+00 -0.3909612E+00
 0.2000000E-01 -0.5576427E+00 -0.1574083E+00 -0.9817643E+00 -0.9029607E+00  0.2932595E+00  0.1031602E+00  0.3559269E+00  0.1642482E+00  0.2981187E+00  0.8235063E+00 -0.6282005E-01  0.4595561E+00 -0.3992355E+00  0.4504584E-01  0.1260231E+01 -0.1682896E+00 -0.5696042E+00 -0.2786656E-01  0.6143883E+00 -0.7560616E-01  0.2898978E+00  0.2840361E+00  0.1321554E+00 -0.2493538E+00 -0.7655739E+00  0.2149468E+00 -0.4468298E+00  0.3709957E+00  0.2000485E+00 -0.2479073E+00 -0.5587040E+00  0.9017954E-01  0.8849732E+00 -0.4878353E+00 -0.8154025E-01  0.2652656E+00  0.3973850E+00 -0.6849942E+00  0.7018640E+00 -0.3909981E+00
